Fork_length Barbel Eye Body_depth Roundness Gape_body Caudal_peduncle Anal_fin Protrusion_angle Protrusion_length Lower_jaw_length Pharyngo_operc_volume Head_length Postorbital_length Raker_resistance Oral_gape Raker_length_lateral Secundary_raker_profile Filter_area Gut_length
21.7675678169038 0.028 0.048 0.219 1.99 0.272 0.085 1.07 65.8 0.041 0.109 0.487 0.271 1.657 1.09 0.082 0.0061 1.89 1.47 1.698
16.568207903307  0.037 0.049 0.238 2.14 0.111 0.099 1.21 50.6 0.04 0.077  0.354 0.206 1.149 1.61 0.06  0.0068 4.75 1.18 2.054
20.3153593835427 0.058 0.041 0.243 1.93 0.218 0.103 1.24 46.9 0.066 0.108 0.71 	0.25  1.237 1 	 0.076 0.0054 1.2  1.2 	2.273
26.6141136502591 0.038 0.039 0.215 1.87 0.358 0.088 1.19 46.2 0.051 0.11  0.576 0.274 1.49  0.98 0.09  0.0053 1.5  1.16 1.516
38.0513369614263 0.05  0.036 0.269 1.99 0.115 0.102 1.32 52.7 0.047 0.082 0.605 0.222 1.201 1.29 0.065 0.006  2.67 1.25 3.399
23.271603993965  0.035 0.043 0.224 1.71 0.282 0.091 1.19 63.5 0.047 0.107 0.774 0.267 1.449 1.22 0.09  0.007  1.4  1.46 1.655
32.9325010432358 0.023 0.035 0.221 1.82 0.241 0.098 1.12 77.6 0.038 0.109 0.588 0.25  1.431 1.01 0.086 0.0056 1.22 1.24 1.708
15.8401293537806 0.029 0.059 0.239 2 	0.209 0.095 1.28 68   0.048 0.104 0.569 0.251 1.26  1.39 0.084 0.0075 3.25 1.76 1.821
26.0361490983895 0.029 0.041 0.215 1.9 	0.285 0.09  1.13 79.6 0.039 0.11  0.488 0.248 1.449 1.06 0.083 0.0056 2.46 0.01	1.908
22.3554385977973 0.051 0.042 0.236 1.91 0.112 0.1   1.25 47.5 0.051 0.092 0.595 0.247 1.177 1.43 0.073 0.0066 3.1  1.49 2.412
21.2959873678732 0.043 0.044 0.243 1.88 0.231 0.093 1.24 65.8 0.04  0.1   0.71 	0.253 1.333 1.19 0.086 0.0066 2.3  1.86 1.831
23.3208280180865 0.038 0.045 0.27  2.14 0.083 0.098 1.23 58.7 0.037 0.075 0.413 0.205 1.114 1.64 0.057 0.0065 3.93 1.05 2.898
17.198582161655  0.029 0.037 0.242 1.83 0.248 0.106 1.3  67.1 0.031 0.095 0.631 0.238 1.409 1.13 0.084 0.0071 2.5  1.72 1.916
21.2754537135789 0.047 0.044 0.253 1.99 0.145 0.102 1.19 49.6 0.051 0.09  0.619 0.237 1.23  1.45 0.071 0.007  3.57 1.65 2.277
